Šifra NKS;Puno ime NKS;Naziv NKS
A.;A. Površinske kopnene vode i močvarna staništa;Površinske kopnene vode i močvarna staništa
A.1.;A.1. Stajaćice;Stajaćice
A.1.1.;A.1.1. Stalne stajaćice;Stalne stajaćice
A.1.1.1.;A.1.1.1. Stalne stajaćice;Stalne stajaćice
A.1.1.1.1.;A.1.1.1.1. Oligotrofne vode siromašne vapnencem;Oligotrofne vode siromašne vapnencem
A.1.1.1.2.;A.1.1.1.2. Mezotrofne vode;Mezotrofne vode
A.1.1.1.3.;A.1.1.1.3. Eutrofne vode;Eutrofne vode
A.1.1.1.4.;A.1.1.1.4. Oligotrofno-mezotrofne vode bogate vapnencem;Oligotrofno-mezotrofne vode bogate vapnencem
A.1.1.1.5.;A.1.1.1.5. Dna stalnih stajaćica;Dna stalnih stajaćica
A.1.2.;A.1.2. Povremene stajaćice;Povremene stajaćice
A.1.2.1.;A.1.2.1. Povremene stajaćice ;Povremene stajaćice 
A.1.2.1.1.;A.1.2.1.1. Povremene oligotrofne stajaćice siromašne vapnencem;Povremene oligotrofne stajaćice siromašne vapnencem
A.1.2.1.2.;A.1.2.1.2. Povremene mezotrofne stajaćice;Povremene mezotrofne stajaćice
A.1.2.1.3.;A.1.2.1.3. Povremene eutrofne stajaćice;Povremene eutrofne stajaćice
A.1.2.1.4.;A.1.2.1.4. Povremene oligotrofno-mezotrofne stajaćice;Povremene oligotrofno-mezotrofne stajaćice
A.1.2.1.5.;A.1.2.1.5. Dna povremenih stajaćica (vodena faza);Dna povremenih stajaćica (vodena faza)
A.1.2.1.6.;A.1.2.1.6. Neobrasla dna povremenih stajaćica (suha faza);Neobrasla dna povremenih stajaćica (suha faza)
A.1.3.;A.1.3. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.1.3.1.;A.1.3.1. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.1.3.1.1.;A.1.3.1.1. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.2.;A.2. Tekućice;Tekućice
A.2.1.;A.2.1. Izvori;Izvori
A.2.1.1.;A.2.1.1. Izvori;Izvori
A.2.1.1.1.;A.2.1.1.1. Reokreni izvori;Reokreni izvori
A.2.1.1.2.;A.2.1.1.2. Limnokreni izvori;Limnokreni izvori
A.2.1.1.3.;A.2.1.1.3. Helokreni izvori;Helokreni izvori
A.2.2.;A.2.2. Povremeni vodotoci;Povremeni vodotoci
A.2.2.1.;A.2.2.1. Povremeni vodotoci;Povremeni vodotoci
A.2.2.1.1.;A.2.2.1.1. Povremeni vodotoci povremeno suhog korita;Povremeni vodotoci povremeno suhog korita
A.2.2.1.2.;A.2.2.1.2. Povremeni vodotoci s bazenčićima;Povremeni vodotoci s bazenčićima
A.2.3.;A.2.3. Stalni vodotoci;Stalni vodotoci
A.2.3.1.;A.2.3.1. Brzi, turbulentni vodotoci;Brzi, turbulentni vodotoci
A.2.3.1.1.;A.2.3.1.1. Gornji i srednji tokovi turbulentnih vodotoka;Gornji i srednji tokovi turbulentnih vodotoka
A.2.3.1.2.;A.2.3.1.2. Donji tokovi turbulentnih vodotoka;Donji tokovi turbulentnih vodotoka
A.2.3.2.;A.2.3.2. Spori vodotoci;Spori vodotoci
A.2.3.2.1.;A.2.3.2.1. Gornji tokovi sporih vodotoka ;Gornji tokovi sporih vodotoka 
A.2.3.2.2.;A.2.3.2.2. Srednji i donji tokovi sporih vodotoka ;Srednji i donji tokovi sporih vodotoka 
A.2.4.;A.2.4. Kanali;Kanali
A.2.4.1.;A.2.4.1. Kanali sa stalnim protokom;Kanali sa stalnim protokom
A.2.4.1.1.;A.2.4.1.1. Kanali sa stalnim protokom, površinska odvodnja;Kanali sa stalnim protokom, površinska odvodnja
A.2.4.1.2.;A.2.4.1.2. Kanali sa stalnim protokom, površinsko navodnjavanje;Kanali sa stalnim protokom, površinsko navodnjavanje
A.2.4.1.3.;A.2.4.1.3. Kanali sa stalnim protokom, višenamjenski kanal;Kanali sa stalnim protokom, višenamjenski kanal
A.2.4.2.;A.2.4.2. Kanali s povremenim protokom;Kanali s povremenim protokom
A.2.4.2.1.;A.2.4.2.1. Kanali s povremenim protokom, površinska odvodnja;Kanali s povremenim protokom, površinska odvodnja
A.2.4.2.2.;A.2.4.2.2. Kanali s povremenim protokom, površinsko navodnjavanje;Kanali s povremenim protokom, površinsko navodnjavanje
A.2.4.2.3.;A.2.4.2.3. Kanali s povremenim protokom, višenamjenski kanal;Kanali s povremenim protokom, višenamjenski kanal
A.2.5.;A.2.5. Vodopadi;Vodopadi
A.2.5.1.;A.2.5.1. Vodopadi;Vodopadi
A.2.5.1.1.;A.2.5.1.1. Geogeni vodopadi;Geogeni vodopadi
A.2.5.1.2.;A.2.5.1.2. Biogeni vodopadi;Biogeni vodopadi
A.2.6.;A.2.6. Termalna vrela;Termalna vrela
A.2.6.1.;A.2.6.1. Termalna vrela;Termalna vrela
A.2.6.1.1.;A.2.6.1.1. Termalna vrela;Termalna vrela
A.2.7.;A.2.7. Neobrasle i slabo obrasle obale tekućica;Neobrasle i slabo obrasle obale tekućica
A.2.7.1.;A.2.7.1. Neobrasle i slabo obrasle obale tekućica s mekim i mobilnim sedimentima (sprudovi);Neobrasle i slabo obrasle obale tekućica s mekim i mobilnim sedimentima (sprudovi)
A.2.7.1.1.;A.2.7.1.1. Neobrasle šljunčane riječne obale;Neobrasle šljunčane riječne obale
A.2.7.1.2.;A.2.7.1.2. Neobrasle pješčane riječne obale;Neobrasle pješčane riječne obale
A.2.7.1.3.;A.2.7.1.3. Neobrasle muljevite riječne obale;Neobrasle muljevite riječne obale
A.2.7.2.;A.2.7.2. Neobrasle i slabo obrasle kamenite i stjenovite obale tekućica;Neobrasle i slabo obrasle kamenite i stjenovite obale tekućica
A.2.7.2.1.;A.2.7.2.1. Neobrasle i slabo obrasle kamenite i stjenovite obale tekućica;Neobrasle i slabo obrasle kamenite i stjenovite obale tekućica
A.2.7.3.;A.2.7.3. Strme odronjene obale tekućica;Strme odronjene obale tekućica
A.2.7.3.1.;A.2.7.3.1. Strme odronjene obale tekućica;Strme odronjene obale tekućica
A.3.;A.3. Hidrofitska staništa slatkih voda;Hidrofitska staništa slatkih voda
A.3.1.;A.3.1. Submerzna vegetacija parožina;Submerzna vegetacija parožina
A.3.1.1.;A.3.1.1. Submerzna vegetacija parožina;Submerzna vegetacija parožina
A.3.1.1.1.;A.3.1.1.1. Sastojine parožina roda Chara;Sastojine parožina roda Chara
A.3.1.1.2.;A.3.1.1.2. Sastojine parožina roda Nitella;Sastojine parožina roda Nitella
A.3.2.;A.3.2. Slobodno plivajući flotantni i submerzni hidrofiti;Slobodno plivajući flotantni i submerzni hidrofiti
A.3.2.1.;A.3.2.1. Zajednice slobodno plivajućih leća;Zajednice slobodno plivajućih leća
A.3.2.1.1.;A.3.2.1.1. Zajednica male vodene leće;Zajednica male vodene leće
A.3.2.1.2.;A.3.2.1.2. Zajednica male i velike vodene leće;Zajednica male i velike vodene leće
A.3.2.1.3.;A.3.2.1.3. Zajednica trokrpe vodene leće;Zajednica trokrpe vodene leće
A.3.2.1.4.;A.3.2.1.4. Zajednica velike vodene leće i plivajuće nepačke;Zajednica velike vodene leće i plivajuće nepačke
A.3.2.1.5.;A.3.2.1.5. Zajednica sitne i grbaste vodene leće;Zajednica sitne i grbaste vodene leće
A.3.2.1.6.;A.3.2.1.6. Zajednica vodenih leća i parožinaste paprati;Zajednica vodenih leća i parožinaste paprati
A.3.2.1.7.;A.3.2.1.7. Sastojina vodene mahovine Ricciocarpus natans;Sastojina vodene mahovine Ricciocarpus natans
A.3.2.2.;A.3.2.2. Zajednice flotantne mješinke;Zajednice flotantne mješinke
A.3.2.2.1.;A.3.2.2.1. Zajednica vodenih leća i obične mješinke;Zajednica vodenih leća i obične mješinke
A.3.2.3.;A.3.2.3. Zajednice žabogriza;Zajednice žabogriza
A.3.2.3.1.;A.3.2.3.1. Zajednica žabogriza i resca;Zajednica žabogriza i resca
A.3.2.3.2.;A.3.2.3.2. Zajednica žabogriza;Zajednica žabogriza
A.3.3.;A.3.3. Zakorijenjena vodenjarska vegetacija;Zakorijenjena vodenjarska vegetacija
A.3.3.1.;A.3.3.1. Zakorijenjene zajednice voda stajaćica;Zakorijenjene zajednice voda stajaćica
A.3.3.1.1.;A.3.3.1.1. Zajednica krute roščike i kovrčavog mrijesnjaka;Zajednica krute roščike i kovrčavog mrijesnjaka
A.3.3.1.2.;A.3.3.1.2. Zajednica krute roščike;Zajednica krute roščike
A.3.3.1.3.;A.3.3.1.3. Zajednica češljastog mrijesnjaka;Zajednica češljastog mrijesnjaka
A.3.3.1.4.;A.3.3.1.4. Zajednica čeljastog mrijesnjaka i morske podvodnice ;Zajednica čeljastog mrijesnjaka i morske podvodnice 
A.3.3.1.5.;A.3.3.1.5. Sastojine velikih mrijesnjaka ;Sastojine velikih mrijesnjaka 
A.3.3.2.;A.3.3.2. Zakorijenjene submerzne zajednice voda tekućica;Zakorijenjene submerzne zajednice voda tekućica
A.3.3.2.1.;A.3.3.2.1. Zajednica riječnog žabnjaka;Zajednica riječnog žabnjaka
A.3.3.2.2.;A.3.3.2.2. Zajednica riječnog žabnjaka i uronjenog grešuna;Zajednica riječnog žabnjaka i uronjenog grešuna
A.3.3.2.3.;A.3.3.2.3. Zajednica riječnog žabnjaka i žabovlatke;Zajednica riječnog žabnjaka i žabovlatke
A.3.3.2.4.;A.3.3.2.4. Zajednica potočne čestoslavice i jezerske žabovlatke;Zajednica potočne čestoslavice i jezerske žabovlatke
A.3.3.2.5.;A.3.3.2.5. Sastojine vrste Fontinalis antipyretica;Sastojine vrste Fontinalis antipyretica
A.3.3.3.;A.3.3.3. Zajednice natantnih hidrofita;Zajednice natantnih hidrofita
A.3.3.3.1.;A.3.3.3.1. Zajednica lopoča i lokvanja;Zajednica lopoča i lokvanja
A.3.3.3.2.;A.3.3.3.2. Vodenjara klasastog krocnja i lokvanja;Vodenjara klasastog krocnja i lokvanja
A.3.3.3.3.;A.3.3.3.3. Zajednica vodenog orašca;Zajednica vodenog orašca
A.3.3.3.4.;A.3.3.3.4. Vodenjara vodenog orašca i okruglolisnog plavuna;Vodenjara vodenog orašca i okruglolisnog plavuna
A.3.3.3.5.;A.3.3.3.5. Zajednica plavuna;Zajednica plavuna
A.3.3.3.6.;A.3.3.3.6. Zajednica močvarne rebratice;Zajednica močvarne rebratice
A.3.4.;A.3.4. Karbonatna vrela;Karbonatna vrela
A.3.5.;A.3.5. Sedrotvorne riječne zajednice;Sedrotvorne riječne zajednice
A.3.6.;A.3.6. Sedrotvorna vegetacija na slapovima;Sedrotvorna vegetacija na slapovima
A.4.;A.4. Obrasle obale površinskih kopnenih voda i močvarna staništa;Obrasle obale površinskih kopnenih voda i močvarna staništa
A.4.1.;A.4.1. Tršćaci, rogozici, visoki šiljevi i visoki šaševi;Tršćaci, rogozici, visoki šiljevi i visoki šaševi
A.4.1.1.;A.4.1.1. Tršćaci i rogozici;Tršćaci i rogozici
A.4.1.1.1.;A.4.1.1.1. Tršćaci obične trske;Tršćaci obične trske
A.4.1.1.2.;A.4.1.1.2. Tršćak obične trske i patuljastog rogoza;Tršćak obične trske i patuljastog rogoza
A.4.1.1.3.;A.4.1.1.3. Zajednica običnog oblića;Zajednica običnog oblića
A.4.1.1.4.;A.4.1.1.4. Močvara uspravnog ježinca;Močvara uspravnog ježinca
A.4.1.1.5.;A.4.1.1.5. Rogozik širokolisnog rogoza;Rogozik širokolisnog rogoza
A.4.1.1.6.;A.4.1.1.6. Rogozik uskolisnog rogoza;Rogozik uskolisnog rogoza
A.4.1.1.7.;A.4.1.1.7. Zajednica primorskog oblića;Zajednica primorskog oblića
A.4.1.1.8.;A.4.1.1.8. Zajednica ljutka;Zajednica ljutka
A.4.1.1.9.;A.4.1.1.9. Zajednica velike pirevine;Zajednica velike pirevine
A.4.1.1.10.;A.4.1.1.10. Zajednica iđirota i velike pirevine;Zajednica iđirota i velike pirevine
A.4.1.1.11.;A.4.1.1.11. Zajednica divlje riže;Zajednica divlje riže
A.4.1.1.12.;A.4.1.1.12. Sastojine riječne preslice;Sastojine riječne preslice
A.4.1.1.13.;A.4.1.1.13. Zajednica sivog oblića ;Zajednica sivog oblića 
A.4.1.1.14.;A.4.1.1.14. Zajednica obalnog oblića ;Zajednica obalnog oblića 
A.4.1.1.15.;A.4.1.1.15. Zajednica iđirota;Zajednica iđirota
A.4.1.1.16.;A.4.1.1.16. Zajednica štitastog vodoljuba;Zajednica štitastog vodoljuba
A.4.1.2.;A.4.1.2. Visoki šaševi i šiljevi;Visoki šaševi i šiljevi
A.4.1.2.1.;A.4.1.2.1. Močvara krutog šaša;Močvara krutog šaša
A.4.1.2.2.;A.4.1.2.2. Močvara krutog šaša s običnim ljepuškom;Močvara krutog šaša s običnim ljepuškom
A.4.1.2.3.;A.4.1.2.3. Močvara nježnog šaša;Močvara nježnog šaša
A.4.1.2.4.;A.4.1.2.4. Močvara močvarnog šaša;Močvara močvarnog šaša
A.4.1.2.5.;A.4.1.2.5. Močvara obalnog šaša;Močvara obalnog šaša
A.4.1.2.6.;A.4.1.2.6. Močvara mjehurastog šaša;Močvara mjehurastog šaša
A.4.1.2.7.;A.4.1.2.7. Močvara metličastog šaša;Močvara metličastog šaša
A.4.1.2.8.;A.4.1.2.8. Zajednica trstastog blješca;Zajednica trstastog blješca
A.4.1.2.9.;A.4.1.2.9. Zajednica dugolisnog šilja;Zajednica dugolisnog šilja
A.4.1.2.10.;A.4.1.2.10. Zajednica nježnog i lisičjeg šaša;Zajednica nježnog i lisičjeg šaša
A.4.1.2.11.;A.4.1.2.11. Zajednica cretne broćike i obalnog šaša ;Zajednica cretne broćike i obalnog šaša 
A.4.1.2.12.;A.4.1.2.12. Zajednica banatskog šaša;Zajednica banatskog šaša
A.4.1.2.13.;A.4.1.2.13. Zajednica Caricetum otrubae;Zajednica Caricetum otrubae
A.4.1.2.14.;A.4.1.2.14. Sastojine vrste Carex randalpina;Sastojine vrste Carex randalpina
A.4.1.2.15.;A.4.1.2.15. Zajednica kljunastog šaša;Zajednica kljunastog šaša
A.4.1.2.16.;A.4.1.2.16. Zajednica lisičjeg šaša;Zajednica lisičjeg šaša
A.4.1.2.17.;A.4.1.2.17. Zajednica močvarne jezernice;Zajednica močvarne jezernice
A.4.1.2.18.;A.4.1.2.18. Zajednica jednopljevične jezernice;Zajednica jednopljevične jezernice
A.4.1.2.19.;A.4.1.2.19. Sastojine žute perunike;Sastojine žute perunike
A.4.1.2.20.;A.4.1.2.20. Sastojine tupocvjetnog sita;Sastojine tupocvjetnog sita
A.4.1.3.;A.4.1.3. Močvarna vegetacija sporo tekućih voda;Močvarna vegetacija sporo tekućih voda
A.4.1.3.1.;A.4.1.3.1. Zajednica plivajuće pirevine;Zajednica plivajuće pirevine
A.4.1.3.2.;A.4.1.3.2. Zajednica obične potočarke;Zajednica obične potočarke
A.4.1.3.3.;A.4.1.3.3. Zajednica razgranjenog ježinca i dugolisnog šilja;Zajednica razgranjenog ježinca i dugolisnog šilja
A.4.1.3.4.;A.4.1.3.4. Zajednica čvorastog celera;Zajednica čvorastog celera
A.4.1.3.5.;A.4.1.3.5. Zajednica naborane pirevine;Zajednica naborane pirevine
A.4.1.3.6.;A.4.1.3.6. Sastojine potočne čestoslavice;Sastojine potočne čestoslavice
A.4.1.4.;A.4.1.4. Vegetacija plitkih močvara;Vegetacija plitkih močvara
A.4.1.4.1.;A.4.1.4.1. Zajednica vodene trbulje i vodozemskog grbka;Zajednica vodene trbulje i vodozemskog grbka
A.4.1.4.2.;A.4.1.4.2. Močvara obične strelice i uronjenog ježinca;Močvara obične strelice i uronjenog ježinca
A.4.2.;A.4.2. Amfibijske zajednice;Amfibijske zajednice
A.4.2.1.;A.4.2.1. Niski šiljevi;Niski šiljevi
A.4.2.1.1.;A.4.2.1.1. Zajednica žućkastog oštrika;Zajednica žućkastog oštrika
A.4.2.1.2.;A.4.2.1.2. Zajednica sitnog trpuca i razgranjene trnike;Zajednica sitnog trpuca i razgranjene trnike
A.4.2.1.3.;A.4.2.1.3. Zajednica jajaste jezernice i trožiljnog ljubora;Zajednica jajaste jezernice i trožiljnog ljubora
A.4.2.1.4.;A.4.2.1.4. Sastojine bodljaste trnice (Crypsis aculeata).;Sastojine bodljaste trnice (Crypsis aculeata).
A.4.2.2.;A.4.2.2. Mediteranske amfibijske zajednice;Mediteranske amfibijske zajednice
A.4.2.2.1.;A.4.2.2.1. Zajednica dvostupke i viličastog resastog šilja;Zajednica dvostupke i viličastog resastog šilja
A.4.2.2.2.;A.4.2.2.2. Zajednica smeđeg šilja i dvoklasog paspala;Zajednica smeđeg šilja i dvoklasog paspala
B.;B. Neobrasle i slabo obrasle kopnene površine;Neobrasle i slabo obrasle kopnene površine
B.1.;B.1. Neobrasle i slabo obrasle stijene;Neobrasle i slabo obrasle stijene
B.1.1.;B.1.1. Neobrasli odsjeci strmih stijena;Neobrasli odsjeci strmih stijena
B.1.1.1.;B.1.1.1. Neobrasle strme stijene;Neobrasle strme stijene
B.1.1.1.1.;B.1.1.1.1. Teško trošive neobrasle stijene;Teško trošive neobrasle stijene
B.1.1.1.2.;B.1.1.1.2. Lako trošive neobrasle stijene;Lako trošive neobrasle stijene
B.1.2.;B.1.2. Vlažne kopnene stijene, poluspilje i nakapnice;Vlažne kopnene stijene, poluspilje i nakapnice
B.1.2.1.;B.1.2.1. Mediteranske nakapnice i plitke poluspilje;Mediteranske nakapnice i plitke poluspilje
B.1.2.1.1.;B.1.2.1.1. Zajednica gospinog vlaska;Zajednica gospinog vlaska
B.1.2.1.2.;B.1.2.1.2. Zajednica primorskog jelenka;Zajednica primorskog jelenka
B.1.3.;B.1.3. Alpsko-karpatsko-balkanske vapnenačke stijene;Alpsko-karpatsko-balkanske vapnenačke stijene
B.1.3.1.;B.1.3.1. Zajednice sa stablastim petoprstom;Zajednice sa stablastim petoprstom
B.1.3.1.1.;B.1.3.1.1. Zajednica rascjepkane slezenice i hajekove pušine;Zajednica rascjepkane slezenice i hajekove pušine
B.1.3.1.2.;B.1.3.1.2. Zajednica alpskog jaglaca i kalničke šašike ;Zajednica alpskog jaglaca i kalničke šašike 
B.1.3.2.;B.1.3.2. Brdske i gorske stijene Gorskog kotara i Istre;Brdske i gorske stijene Gorskog kotara i Istre
B.1.3.2.1.;B.1.3.2.1. Zajednica tomasinijeva i justinianova zvončića;Zajednica tomasinijeva i justinianova zvončića
B.1.3.2.2.;B.1.3.2.2. Zajednica mahovinaste merinke i bijele padimovice;Zajednica mahovinaste merinke i bijele padimovice
B.1.3.3.;B.1.3.3. Ilirsko-dinarske vapnenačke stijene;Ilirsko-dinarske vapnenačke stijene
B.1.3.3.1.;B.1.3.3.1. Zajednica kitajbelovog jaglaca i kluzijeve petoprste;Zajednica kitajbelovog jaglaca i kluzijeve petoprste
B.1.3.3.2.;B.1.3.3.2. Zajednica vunastog rošca;Zajednica vunastog rošca
B.1.4.;B.1.4. Tirensko-jadranske vapnenačke stijene;Tirensko-jadranske vapnenačke stijene
B.1.4.1.;B.1.4.1. Kvarnersko-liburnijske vapnenačke stijene;Kvarnersko-liburnijske vapnenačke stijene
B.1.4.1.1.;B.1.4.1.1. Zajednica istarskog zvončića i dalmatinske zečine;Zajednica istarskog zvončića i dalmatinske zečine
B.1.4.1.2.;B.1.4.1.2. Zajednica sitolisne šašike i austrijskog zmijka;Zajednica sitolisne šašike i austrijskog zmijka
B.1.4.1.3.;B.1.4.1.3. Zajednica kozlačice i prozorskog zvončića;Zajednica kozlačice i prozorskog zvončića
B.1.4.1.4.;B.1.4.1.4. Zajednica tomasinijeve merinke;Zajednica tomasinijeve merinke
B.1.4.2.;B.1.4.2. Dalmatinske vapnenačke stijene;Dalmatinske vapnenačke stijene
B.1.4.2.1.;B.1.4.2.1. Zajednica busine i dubrovačke zečine;Zajednica busine i dubrovačke zečine
B.1.4.2.2.;B.1.4.2.2. Zajednica portenšlagije i portenšlagovog zvončića;Zajednica portenšlagije i portenšlagovog zvončića
B.1.4.2.3.;B.1.4.2.3. Zajednica piramidalnog zvončića i modrog lasinja;Zajednica piramidalnog zvončića i modrog lasinja
B.1.4.2.4.;B.1.4.2.4. Zajednica slavulje i crvenkaste biokovske zečine;Zajednica slavulje i crvenkaste biokovske zečine
B.1.4.2.5.;B.1.4.2.5. Zajednica gorostasne šašike i kalabrijske pogačine;Zajednica gorostasne šašike i kalabrijske pogačine
B.2.;B.2. Točila;Točila
B.2.1.;B.2.1. Gorska, pretplaninska i planinska točila;Gorska, pretplaninska i planinska točila
B.2.1.1.;B.2.1.1. Gorska, pretplaninska i planinska točila;Gorska, pretplaninska i planinska točila
B.2.1.1.1.;B.2.1.1.1. Zajednica mirisne paprati;Zajednica mirisne paprati
B.2.1.1.2.;B.2.1.1.2. Zajednica planinskog mekinjaka;Zajednica planinskog mekinjaka
B.2.1.1.3.;B.2.1.1.3. Točilo planinskog koporca i ognjice;Točilo planinskog koporca i ognjice
B.2.1.1.4.;B.2.1.1.4. Točilo dinarskog rošca;Točilo dinarskog rošca
B.2.1.1.5.;B.2.1.1.5. Ilirsko točilo planinskog lopuha;Ilirsko točilo planinskog lopuha
B.2.2.;B.2.2. Ilirsko-jadranska, primorska točila;Ilirsko-jadranska, primorska točila
B.2.2.1.;B.2.2.1. Ilirsko-jadranska, primorska točila;Ilirsko-jadranska, primorska točila
B.2.2.1.1.;B.2.2.1.1. Točilo primorskog mekinjaka;Točilo primorskog mekinjaka
B.2.2.1.2.;B.2.2.1.2. Točilo primorskog mekinjaka i biokovskog lanilista;Točilo primorskog mekinjaka i biokovskog lanilista
B.2.2.1.3.;B.2.2.1.3. Zajednica stjenjarske iglice i bradavičaste krasuljice;Zajednica stjenjarske iglice i bradavičaste krasuljice
B.2.3.;B.2.3. Neobrasla točila;Neobrasla točila
B.3.;B.3. Požarišta;Požarišta
B.3.1.;B.3.1. Požarišta;Požarišta
B.3.1.1.;B.3.1.1. Šumska požarišta;Šumska požarišta
B.3.1.1.1.;B.3.1.1.1. Požarišta nakon podzemnog požara;Požarišta nakon podzemnog požara
B.3.1.1.2.;B.3.1.1.2. Požarišta nakon prizemnog požara;Požarišta nakon prizemnog požara
B.3.1.1.3.;B.3.1.1.3. Požarišta nakon požara krošanja;Požarišta nakon požara krošanja
B.3.1.2.;B.3.1.2. Nešumska požarišta;Nešumska požarišta
B.3.1.2.1.;B.3.1.2.1. Nešumska požarišta;Nešumska požarišta
B.4.;B.4. Erodirane površine;Erodirane površine
B.4.1.;B.4.1. Erodirane površine;Erodirane površine
B.4.1.1.;B.4.1.1. Površine erodirane oborinskom vodom;Površine erodirane oborinskom vodom
B.4.1.1.1.;B.4.1.1.1. Površine pod utjecajem slojevite erozije;Površine pod utjecajem slojevite erozije
B.4.1.1.2.;B.4.1.1.2. Površine pod utjecajem brazdaste erozije;Površine pod utjecajem brazdaste erozije
B.4.1.1.3.;B.4.1.1.3. Površine pod utjecajem jaružne erozije;Površine pod utjecajem jaružne erozije
B.4.1.2.;B.4.1.2. Klizišta;Klizišta
B.4.1.2.1.;B.4.1.2.1. Klizišta;Klizišta
B.4.1.3.;B.4.1.3. Površine erodirane vjetrom;Površine erodirane vjetrom
B.4.1.3.1.;B.4.1.3.1. Površine erodirane vjetrom;Površine erodirane vjetrom
C.;C. Travnjaci, cretovi i visoke zeleni;Travnjaci, cretovi i visoke zeleni
C.1.;C.1. Cretovi;Cretovi
C.1.1.;C.1.1. Bazofilni cretovi (niski cretovi);Bazofilni cretovi (niski cretovi)
C.1.1.1.;C.1.1.1. Bazofilni cretovi (niski cretovi);Bazofilni cretovi (niski cretovi)
C.1.1.1.1.;C.1.1.1.1. Cretovi crnkaste šiljevine;Cretovi crnkaste šiljevine
C.1.1.1.2.;C.1.1.1.2. Dinarski bazofilni cretovi suhoperke;Dinarski bazofilni cretovi suhoperke
C.1.1.1.3.;C.1.1.1.3. Srednjoeuropski niski cret stisnute trešnice;Srednjoeuropski niski cret stisnute trešnice
C.1.1.1.4.;C.1.1.1.4. Bazofilni cretovi beskoljenke i hostovog šaša;Bazofilni cretovi beskoljenke i hostovog šaša
C.1.1.1.5.;C.1.1.1.5. Cretovi cretnog šaša;Cretovi cretnog šaša
C.1.1.1.6.;C.1.1.1.6. Cret uskolisne suhoperke i bijele šiljkice;Cret uskolisne suhoperke i bijele šiljkice
C.1.2.;C.1.2. Acidofilni cretovi (prijelazni i nadignuti cretovi);Acidofilni cretovi (prijelazni i nadignuti cretovi)
C.1.2.1.;C.1.2.1. Prijelazni cretovi bijele šiljkice;Prijelazni cretovi bijele šiljkice
C.1.2.1.1.;C.1.2.1.1. Cret bijele šiljkice;Cret bijele šiljkice
C.1.2.1.2.;C.1.2.1.2. Cret zvjezdastog šaša i rosike;Cret zvjezdastog šaša i rosike
C.1.2.1.3.;C.1.2.1.3. Cret končastog šaša;Cret končastog šaša
C.1.2.2.;C.1.2.2. Nadignuti borealni cretovi s tresetom;Nadignuti borealni cretovi s tresetom
C.1.2.2.1.;C.1.2.2.1. Gorski tresetni cret;Gorski tresetni cret
C.2.;C.2. Higrofilni i mezofilni travnjaci;Higrofilni i mezofilni travnjaci
C.2.1.;C.2.1. Prijelaz između visokih šaševa i higrofilnih travnjaka;Prijelaz između visokih šaševa i higrofilnih travnjaka
C.2.1.1.;C.2.1.1. Prijelaz između visokih šaševa i higrofilnih travnjaka;Prijelaz između visokih šaševa i higrofilnih travnjaka
C.2.1.1.1.;C.2.1.1.1. Prijelaz između visokih šaševa i higrofilnih travnjaka;Prijelaz između visokih šaševa i higrofilnih travnjaka
C.2.2.;C.2.2. Vlažne livade Srednje Europe;Vlažne livade Srednje Europe
C.2.2.1.;C.2.2.1. Poplavne livade ošaka;Poplavne livade ošaka
C.2.2.1.1.;C.2.2.1.1. Livade pilice i visokog trpuca;Livade pilice i visokog trpuca
C.2.2.1.2.;C.2.2.1.2. Poplavne livade dugolisne čestoslavice i sjajne mlječike;Poplavne livade dugolisne čestoslavice i sjajne mlječike
C.2.2.1.3.;C.2.2.1.3. Poplavne livade ljekovite milice i ranog šaša;Poplavne livade ljekovite milice i ranog šaša
C.2.2.2.;C.2.2.2. Trajno vlažne livade Srednje Europe;Trajno vlažne livade Srednje Europe
C.2.2.2.1.;C.2.2.2.1. Srednjoeuropske livade obične beskoljenke;Srednjoeuropske livade obične beskoljenke
C.2.2.2.2.;C.2.2.2.2. Livade bodljozobi i blijede djeteline;Livade bodljozobi i blijede djeteline
C.2.2.2.3.;C.2.2.2.3. Livade plućne sirištare i primorske beskoljenke;Livade plućne sirištare i primorske beskoljenke
C.2.2.3.;C.2.2.3. Zajednice higrofilnih zeleni;Zajednice higrofilnih zeleni
C.2.2.3.1.;C.2.2.3.1. Zajednica močvarne preslice i obične šašine;Zajednica močvarne preslice i obične šašine
C.2.2.3.2.;C.2.2.3.2. Zajednica šumskog kravuljka i zeljastog osjaka;Zajednica šumskog kravuljka i zeljastog osjaka
C.2.2.3.3.;C.2.2.3.3. Pašnjak rosulje i sivozelenog sita;Pašnjak rosulje i sivozelenog sita
C.2.2.4.;C.2.2.4. Periodički vlažne livade;Periodički vlažne livade
C.2.2.4.1.;C.2.2.4.1. Livade busike;Livade busike
C.2.2.4.2.;C.2.2.4.2. Livade trobridog i lisičjeg šaša;Livade trobridog i lisičjeg šaša
C.2.2.4.3.;C.2.2.4.3. Livade močvarne trbulje i livadnog repka;Livade močvarne trbulje i livadnog repka
C.2.2.5.;C.2.2.5. Zajednice s blijedom djetelinom;Zajednice s blijedom djetelinom
