Šifra NKS;Puno ime NKS;Naziv NKS
I.6.4.1.4.;I.6.4.1.4. Nasadi za božićna drvca;Nasadi za božićna drvca
I.6.4.1.5.;I.6.4.1.5. Nasadi šumskog drveća za proizvodnju sjemena;Nasadi šumskog drveća za proizvodnju sjemena
I.7.;I.7. Međe i ograde kultiviranih površina;Međe i ograde kultiviranih površina
I.7.1.;I.7.1. Međe i ograde kultiviranih površina;Međe i ograde kultiviranih površina
I.7.1.1.;I.7.1.1. Drvoredi na međama kultiviranih površina;Drvoredi na međama kultiviranih površina
I.7.1.1.1.;I.7.1.1.1. Drvoredi na međama kultiviranih površina;Drvoredi na međama kultiviranih površina
I.7.1.2.;I.7.1.2. Živice na međama kultiviranih površina;Živice na međama kultiviranih površina
I.7.1.2.1.;I.7.1.2.1. Živice na međama kultiviranih površina;Živice na međama kultiviranih površina
I.7.1.3.;I.7.1.3. Zeljasta vegetacija na međama kultiviranih površina;Zeljasta vegetacija na međama kultiviranih površina
I.7.1.3.1.;I.7.1.3.1. Zeljasta vegetacija na međama kultiviranih površina;Zeljasta vegetacija na međama kultiviranih površina
I.8.;I.8. Neproizvodne kultivirane zelene površine;Neproizvodne kultivirane zelene površine
I.8.1.;I.8.1. Javne neproizvodne kultivirane zelene površine;Javne neproizvodne kultivirane zelene površine
I.8.1.1.;I.8.1.1. Intenzivno njegovani parkovi u sklopu naselja;Intenzivno njegovani parkovi u sklopu naselja
I.8.1.2.;I.8.1.2. Ekstenzivno njegovani parkovi u sklopu naselja;Ekstenzivno njegovani parkovi u sklopu naselja
I.8.1.3.;I.8.1.3. Poluprirodne parkovne zajednice unutar naselja;Poluprirodne parkovne zajednice unutar naselja
I.8.1.4.;I.8.1.4. Parkovi i arboretumi izvan naseljenih mjesta;Parkovi i arboretumi izvan naseljenih mjesta
I.8.1.5.;I.8.1.5. Aleje i drvoredi;Aleje i drvoredi
I.8.1.5.1.;I.8.1.5.1. Aleje i drvoredi s travnatom ili rahlom zemljanom podlogom;Aleje i drvoredi s travnatom ili rahlom zemljanom podlogom
I.8.1.5.2.;I.8.1.5.2. Aleje i drvoredi s propusnom podlogom od utabane zemlje ili rastresitog kamenog materijala;Aleje i drvoredi s propusnom podlogom od utabane zemlje ili rastresitog kamenog materijala
I.8.1.5.3.;I.8.1.5.3. Aleje i drvoredi s asfaltnom ili betonskom podlogom;Aleje i drvoredi s asfaltnom ili betonskom podlogom
I.8.1.6.;I.8.1.6. Javne intenzivno održavane tratine;Javne intenzivno održavane tratine
I.8.1.6.1.;I.8.1.6.1. Javne intenzivno održavane tratine;Javne intenzivno održavane tratine
I.8.1.7.;I.8.1.7. Javni cvijetnjaci;Javni cvijetnjaci
I.8.1.7.1.;I.8.1.7.1. Javni cvijetnjaci;Javni cvijetnjaci
I.8.1.8.;I.8.1.8. Zelene površine za sport i rekreaciju;Zelene površine za sport i rekreaciju
I.8.1.8.1.;I.8.1.8.1. Travnati sportski tereni za igre s loptom;Travnati sportski tereni za igre s loptom
I.8.1.8.2.;I.8.1.8.2. Golf tereni;Golf tereni
I.8.1.8.3.;I.8.1.8.3. Kampovi;Kampovi
I.8.1.8.4.;I.8.1.8.4. Ostale zelene površine za sport i rekreaciju;Ostale zelene površine za sport i rekreaciju
I.8.1.9.;I.8.1.9. Intenzivno gažene javne površine;Intenzivno gažene javne površine
I.8.1.9.1.;I.8.1.9.1. Intenzivno gažene javne površine;Intenzivno gažene javne površine
I.8.2.;I.8.2. Dvorišta i kućni vrtovi;Dvorišta i kućni vrtovi
I.8.2.1.;I.8.2.1. Intenzivno njegovani kućni vrtovi;Intenzivno njegovani kućni vrtovi
I.8.2.2.;I.8.2.2. Ekstenzivno njegovani kućni vrtovi;Ekstenzivno njegovani kućni vrtovi
I.8.2.3.;I.8.2.3. Zapušteni kućni vrtovi;Zapušteni kućni vrtovi
I.8.2.4.;I.8.2.4. Intenzivno gažena dvorišta uz kuće;Intenzivno gažena dvorišta uz kuće
I.8.2.4.1.;I.8.2.4.1. Intenzivno gažena dvorišta uz kuće;Intenzivno gažena dvorišta uz kuće
I.8.2.5.;I.8.2.5. Popločena dvorišta uz kuće;Popločena dvorišta uz kuće
I.8.2.5.1.;I.8.2.5.1. Popločena dvorišta uz kuće;Popločena dvorišta uz kuće
J.;J. Izgrađena i industrijska staništa;Izgrađena i industrijska staništa
J.1.;J.1. Sela;Sela
J.1.1.;J.1.1. Aktivna seoska područja;Aktivna seoska područja
J.1.1.1.;J.1.1.1. Seoske javne građevine;Seoske javne građevine
J.1.1.1.1.;J.1.1.1.1. Seoske crkve;Seoske crkve
J.1.1.1.2.;J.1.1.1.2. Ostale aktivne seoske javne građevine;Ostale aktivne seoske javne građevine
J.1.1.1.3.;J.1.1.1.3. Napuštene seoske javne građevine;Napuštene seoske javne građevine
J.1.1.2.;J.1.1.2. Seoske kuće;Seoske kuće
J.1.1.2.1.;J.1.1.2.1. Tradicionalne nastanjene kuće;Tradicionalne nastanjene kuće
J.1.1.2.2.;J.1.1.2.2. Novoizgrađene nastanjene kuće;Novoizgrađene nastanjene kuće
J.1.1.2.3.;J.1.1.2.3. Napuštene seoske kuće;Napuštene seoske kuće
J.1.1.2.4.;J.1.1.2.4. Ruševine seoskih kuća;Ruševine seoskih kuća
J.1.1.3.;J.1.1.3. Seoske gospodarske zgrade;Seoske gospodarske zgrade
J.1.1.3.1.;J.1.1.3.1. Neizolirane poljoprivredne građevine;Neizolirane poljoprivredne građevine
J.1.1.3.2.;J.1.1.3.2. Izolirane poljoprivredne građevine;Izolirane poljoprivredne građevine
J.1.1.3.3.;J.1.1.3.3. Staklenici;Staklenici
J.1.1.3.4.;J.1.1.3.4. Plastenici;Plastenici
J.1.1.3.5.;J.1.1.3.5. Napuštene seoske gospodarske zgrade;Napuštene seoske gospodarske zgrade
J.1.2.;J.1.2. Napuštena seoska područja;Napuštena seoska područja
J.1.2.1.;J.1.2.1. Napuštena seoska naselja;Napuštena seoska naselja
J.1.2.2.;J.1.2.2. Napuštena seoska imanja;Napuštena seoska imanja
J.1.3.;J.1.3. Urbanizirana seoska područja;Urbanizirana seoska područja
J.1.3.1.;J.1.3.1. Nekadašnja sela s gradskim načinom življenja;Nekadašnja sela s gradskim načinom življenja
J.1.3.2.;J.1.3.2. Seoski oblici stanovanja u gradovima ili na periferijama gradova;Seoski oblici stanovanja u gradovima ili na periferijama gradova
J.1.3.3.;J.1.3.3. Vikend naselja;Vikend naselja
J.1.3.3.1.;J.1.3.3.1. Pojedinačne vikendice;Pojedinačne vikendice
J.2.;J.2. Gradovi;Gradovi
J.2.1.;J.2.1. Gradske jezgre;Gradske jezgre
J.2.1.1.;J.2.1.1. Gradske jezgre;Gradske jezgre
J.2.1.1.1.;J.2.1.1.1. Gradske zgrade suvremene arhitekture;Gradske zgrade suvremene arhitekture
J.2.1.1.2.;J.2.1.1.2. Gradske zgrade povijesne arhitekture;Gradske zgrade povijesne arhitekture
J.2.1.1.3.;J.2.1.1.3. Napuštene (konzervirane) zgrade u gradskim jezgrama;Napuštene (konzervirane) zgrade u gradskim jezgrama
J.2.2.;J.2.2. Gradske stambene površine;Gradske stambene površine
J.2.2.1.;J.2.2.1. Stambeni blokovi zgusnutog tipa;Stambeni blokovi zgusnutog tipa
J.2.2.1.1.;J.2.2.1.1. Pojedinačne stambene zgrade;Pojedinačne stambene zgrade
J.2.2.2.;J.2.2.2. Stambeni blokovi rubnog (otvorenog) tipa;Stambeni blokovi rubnog (otvorenog) tipa
; Pojedinačne stambene zgrade;Pojedinačne stambene zgrade
J.2.2.3.;J.2.2.3. Zgrade u nizu uz glavnu prometnicu;Zgrade u nizu uz glavnu prometnicu
J.2.2.3.1.;J.2.2.3.1. Pojedinačne stambene zgrade;Pojedinačne stambene zgrade
J.2.2.4.;J.2.2.4. Kompleksi velikih zgrada i neboderi na širokom području;Kompleksi velikih zgrada i neboderi na širokom području
J.2.2.4.1.;J.2.2.4.1. Pojedinačne stambene zgrade;Pojedinačne stambene zgrade
J.2.2.5.;J.2.2.5. Stambene kuće u nizu sa stražnjim vrtovima;Stambene kuće u nizu sa stražnjim vrtovima
J.2.2.5.1.;J.2.2.5.1. Pojedinačne kuće;Pojedinačne kuće
J.2.2.6.;J.2.2.6. Vile s vrtovima poput parkova;Vile s vrtovima poput parkova
J.2.2.6.1.;J.2.2.6.1. Pojedinačne kuće;Pojedinačne kuće
J.2.3.;J.2.3. Ostale urbane površine;Ostale urbane površine
J.2.3.1.;J.2.3.1. Zgrade javne namjene s pripadnim površinama;Zgrade javne namjene s pripadnim površinama
J.2.3.1.1.;J.2.3.1.1. Pojedinačne zgrade javne namjene;Pojedinačne zgrade javne namjene
J.2.3.2.;J.2.3.2. Privremena naselja;Privremena naselja
J.2.3.2.1.;J.2.3.2.1. Pojedinačni blokovi nastambi;Pojedinačni blokovi nastambi
